Track_URI,Track_Name,Main_Artist,Album,Track_Popularity,Release_Year,Album_Popularity,Artist_Popularity,Artist_Followers,Artist_Genres
spotify:track:2rLcR01HB0ScBAsgxX4Z62,"Irish Celebration","Macklemore & Ryan Lewis","Irish Celebration",51,2014,40,72,2639347,"pop rap, seattle hip hop"
spotify:track:7y5zXpTN4J7K0PngQYa655,"Tearz (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck)","Wu-Tang Clan","Enter The Wu-Tang (36 Chambers) [Expanded Edition]",59,1993,75,66,2799812,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:6tvJqRSa4ByFaCv0knBFsL,"Benz Friendz (Whatchutola) (feat. Andr? 3000)",Future,Honest,17,2014,29,88,14431231,"atl hip hop, hip hop, rap, southern hip hop, trap"
spotify:track:4PIfVDOFSRh3jmcl2UhREg,"Push Up Ya Lighter","The Roots","Illadelph Halflife",37,1996,54,57,1311358,"conscious hip hop, east coast hip hop, hip hop, philly rap, political hip hop"
spotify:track:6gCBXwrjQAqL4N6hX93JlU,"The Sun God",Hi-Tek,"Rawkus Records - Best of Decade I 1995-2005 (Explicit Version)",0,2005,0,39,81079,"alternative hip hop, cincinnati rap, hardcore hip hop, hip hop"
spotify:track:2ENkX8uXy9QxWj8t78Js7s,"Purple Kush","Sunspot Jonz","Legendary Music, Vol. 1",0,2006,0,24,11774,"abstract hip hop, underground rap"
spotify:track:0DiDD987yNtsS2euHTMONh,"Everything Changes (Feat. Mystic)",Aceyalone,"Grand Imperial",15,2006,7,35,43779,"abstract hip hop, alternative hip hop"
spotify:track:0gJrV0nwIkYvzj5Qc240RZ,"Ready To Rock",Oddisee,"People Hear What They See (Commentary Version)",32,2012,23,44,229314,"alternative hip hop, instrumental hip hop, sudanese pop"
spotify:track:1xIxMz1sNQ4b6svH1GuTtF,"Gimme the Loot - 2005 Remaster","The Notorious B.I.G.","Ready to Die (The Remaster)",69,1994,79,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:6V3HTEYWpkQYg4ivM9MxpL,"Hold Ya Head (feat. Bob Marley)","The Notorious B.I.G.","Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm)",35,2006,40,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:4qsYESq1enH9R0zyvnFOVE,"Machine Gun Funk",Biggy,"The Studio Album Collection",0,2013,0,0,65,
spotify:track:0ed6evAMZvewGh4UI9KkVU,"Kick in the Door - 2014 Remaster","The Notorious B.I.G.","Life After Death (2014 Remastered Edition)",56,1997,78,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:4akCwzFRS8Syu5uFy7L1sG,"Hail Mary",Makaveli,"The Don Killuminati: The 7 Day Theory",0,1996,0,55,2658424,"gangster rap, hip hop, singeli"
spotify:track:3kG2YgxjYnnPBlo7H08Xt3,"Mo Money Mo Problems (feat. Mase & Puff Daddy)","The Notorious B.I.G.","Life After Death (Deluxe Version)",0,1997,0,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:2kM3gIkHRiikiaIUFk3Fje,"Who Shot Ya? - 2007 Remaster","The Notorious B.I.G.","Greatest Hits",57,2007,74,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:4j4f7WyMV9fkpgFenajDuI,"Going Back To Cali","The Notorious B.I.G.","Life After Death (Deluxe Version)",0,1997,0,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:2CxOJwC4jqWfPQdahEX9oH,"Reunited (feat. GZA, Ol' Dirty Bastard, RZA & Method Man)","Wu-Tang Clan","Wu-Tang Forever",59,1997,64,66,2799812,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:0wLV6ex80v1DyS1W11QyI4,"Who Do You Love?",2Pac,"Loyal To The Game",0,2004,0,78,15843276,"g funk, gangster rap, hip hop, rap, west coast rap"
spotify:track:4J9D4SWmWtFX2p09lnbGA3,"Hip Hop","Mos Def","Black On Both Sides",0,1999,0,63,1382128,"conscious hip hop, east coast hip hop, hip hop"
spotify:track:4S06iZrLlGsSqKlK6paOv8,"Just Lose It",Eminem,"Curtain Call: The Hits (Deluxe Edition)",53,2005,76,88,74360232,"detroit hip hop, hip hop, rap"
spotify:track:31dHDFNlrMokwaMwyvlAwR,"Illegal Business","Boogie Down Productions","By All Means Necessary",0,1988,0,38,314111,"bronx hip hop, conscious hip hop, east coast hip hop, gangster rap, golden age hip hop, hip hop, old school hip hop"
spotify:track:2Khlj8Na0iK0kpxtzMt8Y1,"Sound the Alarm feat. Guilty Simpson","Black Milk","Popular Demand",0,2007,0,40,115590,"alternative hip hop, detroit hip hop, instrumental hip hop"
spotify:track:7DjHbZFUdDtuklH6nfXoaL,"What's Love Got To Do With It","Warren G","Take A Look Over Your Shoulder (Reality)",55,1997,47,62,2268524,"g funk, gangster rap, hardcore hip hop, hip hop, west coast rap"
spotify:track:0m3IFC8zbANf6BL0ylk4ig,"On My Mind","Warren G","In the Mid-Nite Hour",0,2005,0,62,2268524,"g funk, gangster rap, hardcore hip hop, hip hop, west coast rap"
spotify:track:3sog6rNg0KoftO7ltWoNjf,"Get Down","Craig Mack","Project: Funk Da World",44,1994,50,46,232752,"gangster rap, hardcore hip hop, hip hop"
spotify:track:4UmOTj2C2RIYvTWk5HqOf2,"Making Moves with Puff","Craig Mack","Project: Funk Da World",39,1994,50,46,232752,"gangster rap, hardcore hip hop, hip hop"
spotify:track:6glsMWIMIxQ4BedzLqGVi4,"So Fresh, So Clean",Outkast,Stankonia,76,2000,77,73,2306098,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop"
spotify:track:706pxetSKJW6HgS5doqX3y,"Good As Gone","Dilated Peoples","Good As Gone",0,2014,0,46,203978,"alternative hip hop, hardcore hip hop, hip hop, west coast rap"
spotify:track:0sOzDMa4jQd88o8hAGOQTT,"This DJ","Warren G","Regulate G Funk (Enhanced Reissue)",37,1994,43,62,2268524,"g funk, gangster rap, hardcore hip hop, hip hop, west coast rap"
